编号,章节,场景,操作步骤,预期结果,优先级,代码位置,测试结果,备注
1.1,合规自检,订阅条款/隐私政策链接,点击购买页《会员服务协议》《隐私政策》《自动续期条款》,应用内 SFSafariViewController 打开对应 URL,P0,MembershipCenterViewController.m:1370,,,自动续期订阅硬性要求；缺会被拒 3.1.2
1.2,合规自检,价格由 SKProduct 提供（防硬编码）,代码检查 buildPlanData 价格源；Sandbox 购买看实际显示,价格必须来自 SKProduct.price，不可在代码里硬编码 ¥33/¥268 等,P0,buildPlanData,,,仅中国上架，不涉跨区；保留是为防未来改坏硬编码（Apple 审核 P0）
1.3,合规自检,恢复购买入口,查看会员中心底部,「恢复购买」按钮与支付按钮同屏可见,P0,MembershipCenterViewController.m:643,,,
1.4,合规自检,沙箱购买不真实扣款,SandboxTester 购买完成,弹「开通成功（测试环境）不会真实扣款」,P0,MembershipCenterViewController.m:2191,,,
1.5,合规自检,无外部支付诱导,扫一遍购买页,无「官网」「支付宝」「微信支付」入口,P0,-,,,
1.6,合规自检,已登录才能购买（V1 决策）,未登录点击购买 → 跳登录页；登录后回到购买流程,未登录无法看到商品价格；登录态下正常购买,P1,MembershipCenterViewController.m,,,
1.7,合规自检,IAP 仅虚拟商品,扫一遍商品,无实体商品混入 IAP,P1,-,,,
1.8,合规自检,商品名包含时长,App Store Connect 检查产品名,如「连续包月」「连续包年」,P0,App Store Connect,,,
1.9,合规自检,续期条款展示,查看订阅按钮附近,显示「¥X/月 自动续期 可随时取消」,P0,-,,,
1.10,合规自检,续期条款链接,查看购买页,可点击的 EULA/隐私政策/自动续期链接,P0,MembershipCenterViewController.m:1370,,,
2.1,沙箱配置,IAP 产品已创建,App Store Connect 查看,4 个产品（月/年/永久/创始人）状态可供出售/准备提交,P0,-,,,
2.2,沙箱配置,本版本勾选 IAP,提交时勾选,「将以下 App 内购买项目加入审核」已勾选,P0,-,,,
2.3,沙箱配置,付费 App 协议已签,AGT 检查,「协议、税务和银行业务」中 Paid Applications Agreement Active,P0,-,,,
2.4,沙箱配置,沙箱测试员账号,Sandbox Tester 创建,中国/美国各一个沙箱测试员,P0,-,,,
3.1.1,正常购买,购买月卡 planId=1,勾协议→切月卡→支付,弹 Apple 支付面板→verifyPurchase→「开通成功」,P0,MembershipCenterViewController.m:2030,,,
3.1.2,正常购买,购买年卡 planId=2,同上,planId 路由正确,P0,MembershipCenterViewController.m:2030,,,
3.1.3,正常购买,购买永久 planId=3,同上,planId 路由正确,P0,MembershipCenterViewController.m:2030,,,
3.1.4,正常购买,购买创始人 planId=4,同上,planId 路由正确,P0,MembershipCenterViewController.m:2030,,,
3.1.5,正常购买,已是会员再次购买,已激活会员→再点支付,提示「您已是会员」（建议补）,P2,-,,,当前无拦截
3.2.1,商品信息,首次拉取产品,未缓存时点击购买,fetchProductAndPay→HUD→SKProductsRequest→缓存→发起支付,P1,MembershipCenterViewController.m:1856,,,
3.2.2,商品信息,重复拉取,同商品再次购买,命中 skProducts 缓存直接支付,P1,MembershipCenterViewController.m:1847,,,
3.2.3,商品信息,invalid 产品 ID,后台配错 productID,response.products.count==0 提示「未找到对应商品」,P1,MembershipCenterViewController.m:1897,,,
4.1,支付失败,用户取消,Apple 面板→Cancel,SKErrorPaymentCancelled→「支付已取消，可重试」→payInFlight 复位,P0,MembershipCenterViewController.m:1990,,,
4.2,支付失败,失败（任意错误）,沙箱账号配额满/卡片无效,显示 transaction.error.localizedDescription,P0,MembershipCenterViewController.m:1992,,,
4.3,支付失败,Deferred 家长审批,SandboxTester 开 Ask to Buy,SKPaymentTransactionStateDeferred→「购买待审批」,P1,MembershipCenterViewController.m:2008,,,
4.4,支付失败,设备禁用 IAP,屏幕使用时间→关闭 IAP,canMakePayments 返回 NO→提示检查家长控制,P0,MembershipCenterViewController.m:1885,,,
4.5,支付失败,拉商品失败,网络异常/Apple 服务波动,request:didFailWithError:→显示错误→payInFlight 复位,P1,MembershipCenterViewController.m:1955,,,
4.6,支付失败,服务端验证失败,后端宕机/返回错误,不 finish 事务→弹「验证失败 联系客服」,P0,MembershipCenterViewController.m:2075,,,
4.7,支付失败,重复点击支付,购买 HUD 中再次点支付,payInFlight 拦截 return,P1,MembershipCenterViewController.m:1822,,,
4.8,支付失败,购买中侧滑返回,支付进行中从边缘滑动,侧滑手势已禁用 无法中断支付,P1,MembershipCenterViewController.m:1812,,,
4.9,支付失败,购买中 pop 返回,支付进行中点导航返回,isMovingFromParent 检测 提示,P2,MembershipCenterViewController.m:2050,,,
5.1,恢复购买,有购买历史,已购账号登录→点恢复,逐笔 verifyPurchase→「恢复成功」→刷新会员状态,P0,MembershipCenterViewController.m:2100,,,
5.2,恢复购买,无购买历史,全新沙箱账号→点恢复,restoreTotalCount==0→「暂无可恢复的购买记录」,P0,MembershipCenterViewController.m:2056,,,
5.3,恢复购买,恢复失败（网络）,关网络后点恢复,restoreCompletedTransactionsFailedWithError→显示错误,P1,MembershipCenterViewController.m:2069,,,
5.4,恢复购买,多笔事务恢复,切换方案多次购买后恢复,finishOneRestore 逐笔收尾 HUD 不闪烁,P1,MembershipCenterViewController.m:2218,,,
5.5,恢复购买,恢复中重复点击,HUD 显示中再次点恢复,restoreInFlight 拦截,P1,MembershipCenterViewController.m:2037,,,
5.6,恢复购买,换设备恢复,新设备用旧 Apple ID 登录后恢复,Apple 同步历史订阅 正常恢复,P2,-,,,
5.7,恢复购买,服务端未识别该事务,历史事务不属于本用户,failure 分支也 finish 避免堆积,P1,MembershipCenterViewController.m:2209,,,
6.1,掉单恢复,支付成功瞬间断网,Apple 成功回调时切飞行模式,verifyPurchase 失败→不 finish 事务保留,P0,MembershipCenterViewController.m:2076,,,
6.2,掉单恢复,杀进程后重启,上条场景→强杀→重启,PNIAPObserver.start→resumePendingTransactions→上报成功,P0,PNIAPObserver.m:52,,,
6.3,掉单恢复,进入会员中心兜底,残留事务存在→进入会员中心,viewWillAppear 调 resumePendingTransactions 由 VC 处理,P0,MembershipCenterViewController.m:186,,,
6.4,掉单恢复,未登录残留,退出登录后队列里有事务,handleTransactions 未登录分支本地 finish 清空,P1,PNIAPObserver.m:83,,,
